planner,generator,difficulty,instance,name,time_taken,expanded_states,plan_length
seq-opt-bjolp,ROCK,0,10,level_00_seed_010,0.44,14,13
seq-opt-bjolp,ROCK,3,0,level_03_seed_000,8.42,76,36
seq-opt-bjolp,ROCK,4,3,level_04_seed_003,7.56,122,50
seq-opt-bjolp,ROCK,2,8,level_02_seed_008,0.12,15,14
seq-opt-bjolp,ROCK,3,5,level_03_seed_005,8.1,77,35
seq-opt-bjolp,ROCK,2,27,level_02_seed_027,1.3,20,14
seq-opt-bjolp,ROCK,3,12,level_03_seed_012,7.56,75,35
seq-opt-bjolp,ROCK,3,27,level_03_seed_027,9.16,65,39
seq-opt-bjolp,ROCK,2,16,level_02_seed_016,0.61,36,16
seq-opt-bjolp,ROCK,4,9,level_04_seed_009,7.43,75,45
seq-opt-bjolp,ROCK,0,19,level_00_seed_019,0.12,15,14
seq-opt-bjolp,ROCK,1,23,level_01_seed_023,0.57,17,14
seq-opt-bjolp,ROCK,2,15,level_02_seed_015,0.96,21,11
seq-opt-bjolp,ROCK,3,28,level_03_seed_028,6.51,98,38
seq-opt-bjolp,ROCK,1,19,level_01_seed_019,0.44,14,13
seq-opt-bjolp,ROCK,2,4,level_02_seed_004,1.41,60,16
seq-opt-bjolp,ROCK,0,8,level_00_seed_008,0.46,14,13
seq-opt-bjolp,ROCK,3,8,level_03_seed_008,8.14,75,41
seq-opt-bjolp,ROCK,2,10,level_02_seed_010,2.11,56,21
seq-opt-bjolp,ROCK,3,7,level_03_seed_007,8.88,96,43
seq-opt-bjolp,ROCK,0,20,level_00_seed_020,0.43,19,9
seq-opt-bjolp,ROCK,2,11,level_02_seed_011,0.46,14,13
seq-opt-bjolp,ROCK,1,16,level_01_seed_016,1.25,32,13
seq-opt-bjolp,ROCK,4,20,level_04_seed_020,7.8,97,44
seq-opt-bjolp,ROCK,0,0,level_00_seed_000,0.45,14,13
seq-opt-bjolp,ROCK,4,19,level_04_seed_019,6.5,95,33
seq-opt-bjolp,ROCK,2,1,level_02_seed_001,0.13,15,14
seq-opt-bjolp,ROCK,3,22,level_03_seed_022,7.65,61,31
seq-opt-bjolp,ROCK,1,28,level_01_seed_028,0.12,15,14
seq-opt-bjolp,ROCK,3,23,level_03_seed_023,6.58,83,41
seq-opt-bjolp,ROCK,1,21,level_01_seed_021,0.62,16,13
seq-opt-bjolp,ROCK,3,20,level_03_seed_020,7.13,72,33
seq-opt-bjolp,ROCK,4,18,level_04_seed_018,7.45,89,46
seq-opt-bjolp,ROCK,4,6,level_04_seed_006,9.54,98,42
seq-opt-bjolp,ROCK,4,22,level_04_seed_022,9.06,101,43
seq-opt-bjolp,ROCK,0,2,level_00_seed_002,0.56,11,10
seq-opt-bjolp,ROCK,0,13,level_00_seed_013,0.13,15,14
seq-opt-bjolp,ROCK,2,14,level_02_seed_014,0.42,14,13
seq-opt-bjolp,ROCK,2,22,level_02_seed_022,0.7,25,17
seq-opt-bjolp,ROCK,2,20,level_02_seed_020,0.88,37,14
seq-opt-bjolp,ROCK,0,12,level_00_seed_012,0.45,14,13
seq-opt-bjolp,ROCK,0,27,level_00_seed_027,0.44,11,10
seq-opt-bjolp,ROCK,4,12,level_04_seed_012,5.16,102,42
seq-opt-bjolp,ROCK,2,28,level_02_seed_028,1.07,15,14
seq-opt-bjolp,ROCK,3,15,level_03_seed_015,7.11,36,25
seq-opt-bjolp,ROCK,1,13,level_01_seed_013,0.31,10,9
seq-opt-bjolp,ROCK,4,1,level_04_seed_001,10.08,48,36
seq-opt-bjolp,ROCK,4,29,level_04_seed_029,8.78,72,33
seq-opt-bjolp,ROCK,3,3,level_03_seed_003,8.97,40,36
seq-opt-bjolp,ROCK,4,24,level_04_seed_024,8.44,95,39
seq-opt-bjolp,ROCK,1,10,level_01_seed_010,0.46,24,16
seq-opt-bjolp,ROCK,0,3,level_00_seed_003,0.13,15,14
seq-opt-bjolp,ROCK,1,9,level_01_seed_009,0.72,14,13
seq-opt-bjolp,ROCK,2,25,level_02_seed_025,0.7,45,14
seq-opt-bjolp,ROCK,4,13,level_04_seed_013,8.2,111,45
seq-opt-bjolp,ROCK,1,25,level_01_seed_025,0.91,39,11
seq-opt-bjolp,ROCK,3,9,level_03_seed_009,5.23,138,34
seq-opt-bjolp,ROCK,0,22,level_00_seed_022,0.44,14,13
seq-opt-bjolp,ROCK,2,26,level_02_seed_026,0.85,31,18
seq-opt-bjolp,ROCK,0,7,level_00_seed_007,0.45,14,13
seq-opt-bjolp,ROCK,0,4,level_00_seed_004,0.44,11,10
seq-opt-bjolp,ROCK,0,26,level_00_seed_026,0.29,10,9
seq-opt-bjolp,ROCK,1,4,level_01_seed_004,0.56,11,10
seq-opt-bjolp,ROCK,1,14,level_01_seed_014,0.13,15,14
seq-opt-bjolp,ROCK,3,13,level_03_seed_013,5.54,110,37
seq-opt-bjolp,ROCK,4,7,level_04_seed_007,6.25,109,32
seq-opt-bjolp,ROCK,1,24,level_01_seed_024,0.47,24,16
seq-opt-bjolp,ROCK,1,5,level_01_seed_005,0.47,11,10
seq-opt-bjolp,ROCK,4,5,level_04_seed_005,7.32,125,48
seq-opt-bjolp,ROCK,3,29,level_03_seed_029,5.35,107,34
seq-opt-bjolp,ROCK,3,2,level_03_seed_002,6.3,95,36
seq-opt-bjolp,ROCK,4,15,level_04_seed_015,9.09,109,41
seq-opt-bjolp,ROCK,0,5,level_00_seed_005,0.31,10,9
seq-opt-bjolp,ROCK,0,9,level_00_seed_009,0.13,15,14
seq-opt-bjolp,ROCK,3,21,level_03_seed_021,8.21,99,40
seq-opt-bjolp,ROCK,2,17,level_02_seed_017,0.13,15,14
seq-opt-bjolp,ROCK,2,19,level_02_seed_019,1.28,52,16
seq-opt-bjolp,ROCK,4,4,level_04_seed_004,5.54,135,32
seq-opt-bjolp,ROCK,0,28,level_00_seed_028,0.31,10,9
seq-opt-bjolp,ROCK,0,21,level_00_seed_021,0.12,15,14
seq-opt-bjolp,ROCK,0,11,level_00_seed_011,0.95,18,6
seq-opt-bjolp,ROCK,3,16,level_03_seed_016,9.44,35,33
seq-opt-bjolp,ROCK,2,24,level_02_seed_024,0.69,30,17
seq-opt-bjolp,ROCK,1,22,level_01_seed_022,0.45,14,13
seq-opt-bjolp,ROCK,3,4,level_03_seed_004,8.12,46,34
seq-opt-bjolp,ROCK,3,11,level_03_seed_011,7.51,55,40
seq-opt-bjolp,ROCK,0,29,level_00_seed_029,0.45,14,13
seq-opt-bjolp,ROCK,3,6,level_03_seed_006,6.95,97,32
seq-opt-bjolp,ROCK,1,3,level_01_seed_003,0.44,14,13
seq-opt-bjolp,ROCK,3,25,level_03_seed_025,7.58,105,44
seq-opt-bjolp,ROCK,2,29,level_02_seed_029,0.13,15,14
seq-opt-bjolp,ROCK,1,12,level_01_seed_012,1.76,42,19
seq-opt-bjolp,ROCK,2,5,level_02_seed_005,1.02,29,21
seq-opt-bjolp,ROCK,4,0,level_04_seed_000,8.4,99,40
seq-opt-bjolp,ROCK,2,23,level_02_seed_023,0.92,16,12
seq-opt-bjolp,ROCK,3,1,level_03_seed_001,6.93,121,44
